dal_neve,eloado,album,meghallgatva,hossz_ms,nepszeruseg,explicit,dal_id,datum,hossz_perc
Russell County Line,49 Winchester,Fortune Favors the Bold,2025-07-24 17:41:57.614000+00:00,249872,69,False,7JQavxjJS7gEB6oxhhGyJj,2025-07-24 17:41,4.16
Iron Man - 2009 Remaster,Black Sabbath,Paranoid,2025-07-24 13:41:31.116000+00:00,354213,80,False,755bvJDSA3LNcNuFgBT9LK,2025-07-24 13:41,5.9
Planet Caravan - 2009 Remaster,Black Sabbath,Paranoid,2025-07-24 13:32:02.531000+00:00,269240,73,False,4zgHtuasZkiZu1caZwxF5P,2025-07-24 13:32,4.49
Paranoid - 2009 Remaster,Black Sabbath,Paranoid,2025-07-24 13:27:33.362000+00:00,167720,85,False,3Jnxngdff0lVu2rza1GVx6,2025-07-24 13:27,2.8
War Pigs - 2009 Remaster,Black Sabbath,Paranoid,2025-07-24 13:24:45.254000+00:00,475000,79,False,6TYQRlRci6AkVrN9a5C7ne,2025-07-24 13:24,7.92
Wicked World - 2009 Remaster,Black Sabbath,Black Sabbath,2025-07-24 13:16:13.542000+00:00,284373,57,False,2X0g40RcASNCKcum3drycX,2025-07-24 13:16,4.74
Warning - 2009 Remaster,Black Sabbath,Black Sabbath,2025-07-24 13:11:29.153000+00:00,632306,58,False,5WQOEqeiGrGhtMDqZBpu80,2025-07-24 13:11,10.54
Sleeping Village - 2009 Remaster,Black Sabbath,Black Sabbath,2025-07-24 13:00:56.974000+00:00,226053,58,False,1K8N1137M0cVuKEzLTBmLg,2025-07-24 13:00,3.77
"Evil Woman, Don't Play Your Games with Me - 2009 Remaster",Black Sabbath,Black Sabbath,2025-07-24 12:57:10.544000+00:00,200333,63,False,046x8yuXjJFPaaQI6Iyz9e,2025-07-24 12:57,3.34
N.I.B. - 2009 Remaster,Black Sabbath,Black Sabbath,2025-07-24 12:53:50.545000+00:00,366173,77,False,3XclwoQxz4p6Dl7VUf90KW,2025-07-24 12:53,6.1
Behind the Wall of Sleep - 2009 Remaster,Black Sabbath,Black Sabbath,2025-07-24 12:48:57.935000+00:00,217066,61,False,5JYanX4zPe3uX3nShgE0qR,2025-07-24 12:48,3.62
The Wizard - 2009 Remaster,Black Sabbath,Black Sabbath,2025-07-24 12:45:06.100000+00:00,262493,70,False,02VKxjok07ypt3oFlGRjmH,2025-07-24 12:45,4.37
